Links,Video_title,Video pub­lish time,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions-click-through rate (%)
wm_dOcPz2xg,Tulsi Kumar - Hum phir na milen kabhi || 8D audio,"Mar 30, 2020",110,4167,92.3963,19,49980,6.38
7TA3xZig6mM,Akash jure shuninu full karaoke download || Rabindrasangeet || Get free karaoke from Robin2bin,"Mar 8, 2020",108,7854,200.7352,52,40510,15.21
hH1K9VRkN_U,Tulsi Kumar - Hum phir na mile kabhi karaoke with lyrics with chorous,"Mar 30, 2020",107,3946,63.9082,57,27952,9.83
1p3gX13zt0U,Amar bhalobasar rajprasade full Karaoke / instrumental with lyrics Free karaoke from Robijyoti Sen,"Dec 6, 2019",106,8441,224.6996,90,41174,15.19
onA_bwHF-Z4,"Tere Naal Full Karaoke with lyrics | Tulsi Kumar, Darshan Raval |Get free karaoke from Robin2bin","May 18, 2020",104,4013,86.4545,26,40693,7.19
YxL4MtVBMSI,"Teri yaari full song cover with karaoke||TABLA|| Millind Gaba, Robin2bin","Apr 29, 2020",99,537,8.7999,82,9143,3.81
1mlZMJqV9nc,Ganesh pancharatnam full song with Karaoke ||Harmonium Notes in description,"Apr 22, 2020",86,1706,36.4838,64,13317,8.78
rIgYPd_pj4g,Akash jure shuninu full song with karaoke || Get free karaoke from Robin2bin,"May 7, 2020",85,2068,27.9901,50,10045,16.14
CKELKnoECyE,Apni Maati INSTRUMENTAL(COPYRIGHT FREE KARAOKE) |Shreya Ghosal | Original karaoke in description,"Aug 16, 2020",84,3697,96.4477,8,24146,10.81
F3awSGVcQdM,"Teri yaari original karaoke with lyrics| Millind Gaba, Bhushan Kumar|Get free karaoke from Robin2bin","Apr 28, 2020",74,1520,21.5913,54,12457,9.21
lmF4UMHdZoQ,Rihaa/মুক্ত করে দাও Instrumental/Karaoke |Arijit Singh|,"Oct 4, 2020",73,1718,46.0439,9,14414,9.66
H12G2JOoAh8,Dil ko maine di kasam original karaoke download| Arijit Singh| Robin2bin|,"Aug 10, 2020",72,2219,32.997,9,17346,9.73
buAjnTFe5eI,Gahana Kusuma Kunja Majhe Original Song with Karaoke Arko Mukherjee (HEADPHONES RECOMMENDED),"Aug 30, 2019",69,2102,17.696,0,10326,15.26
YgENy-EKp94,Jwalamukhi 99songs female version official karaoke download|| get free karaoke from Robin2bin,"Apr 6, 2020",68,1129,19.0722,56,7696,10.32
